iter	RMSE
0	9.126329519
1	8.530005352
2	8.002235824
3	7.52974754
4	7.12007127
5	6.74985979
6	6.408988036
7	6.070022018
8	5.739904259
9	5.450419212
10	5.179991519
11	4.944056649
12	4.723188999
13	4.522977613
14	4.326462099
15	4.161392802
16	3.998577745
17	3.843578598
18	3.711262401
19	3.583793261
20	3.468749746
21	3.356600793
22	3.258774214
23	3.171738635
24	3.084365386
25	3.009095019
26	2.938192833
27	2.87899589
28	2.818321387
29	2.762130873
30	2.706999949
31	2.657530736
32	2.613651973
33	2.574665851
34	2.536249591
35	2.501466753
36	2.470837606
37	2.436754276
38	2.409832343
39	2.385729096
40	2.363395464
41	2.340592579
42	2.321517625
43	2.304411618
44	2.288393634
45	2.272788392
46	2.257858164
47	2.243132868
48	2.231672283
49	2.219994719
50	2.208835393
51	2.198501145
52	2.189057033
53	2.179801159
54	2.172073156
55	2.162346924
56	2.154852813
57	2.147511144
58	2.142465632
59	2.13670122
60	2.131379802
61	2.126522381
62	2.12179796
63	2.116160475
64	2.110739602
65	2.107133337
66	2.103490496
67	2.10023261
68	2.097028234
69	2.094325387
70	2.091476004
71	2.088908044
72	2.086975764
73	2.084265965
74	2.081256916
75	2.078421302
76	2.075328585
77	2.073716596
78	2.072061232
79	2.068807477
80	2.067494063
81	2.065537588
82	2.063318646
83	2.062091762
84	2.060205503
85	2.058697569
86	2.05631098
87	2.055183123
88	2.053587104
89	2.052187454
90	2.051062165
91	2.049832593
92	2.048616597
93	2.047333139
94	2.046285666
95	2.045398543
96	2.044413083
97	2.043517116
98	2.04199306
99	2.040366704
100	2.039111032
101	2.037475534
102	2.036698347
103	2.036005245
104	2.035060711
105	2.03402714
106	2.033137753
107	2.03225724
108	2.031389739
109	2.030829915
110	2.029799097
111	2.028255948
112	2.027309969
113	2.026492857
114	2.025438847
115	2.024415937
116	2.023302451
117	2.022235322
118	2.021047145
119	2.020309503
120	2.019466951
121	2.018569399
122	2.017415377
123	2.016367067
124	2.01575777
125	2.015016923
126	2.014278172
127	2.013468343
128	2.012760899
129	2.012131427
130	2.011095923
131	2.009864601
132	2.008642004
133	2.007463798
134	2.006646095
135	2.00596183
136	2.005445219
137	2.004871567
138	2.003992694
139	2.002786928
140	2.001939269
141	2.000809221
142	2.000066549
143	1.999374463
144	1.998300991
145	1.997800201
146	1.997188314
147	1.996588864
148	1.995753998
149	1.995321671
150	1.994549355
151	1.993491413
152	1.992752175
153	1.991555982
154	1.990766093
155	1.989770831
156	1.988861131
157	1.987891643
158	1.987029687
159	1.986110483
160	1.985536423
161	1.984346118
162	1.983692976
163	1.982891917
164	1.982150597
165	1.981414959
166	1.980871566
167	1.98006834
168	1.979084326
169	1.978457296
170	1.977851203
171	1.977060577
172	1.976410456
173	1.97575552
174	1.974936624
175	1.973999284
176	1.973254178
177	1.972583683
178	1.971869664
179	1.971102281
180	1.97035895
181	1.969803808
182	1.969147543
183	1.968368699
184	1.967800972
185	1.967046145
186	1.966686098
187	1.966166531
188	1.965459853
189	1.964805028
190	1.964011334
191	1.963191575
192	1.962494404
193	1.96168989
194	1.960968147
195	1.960320433
196	1.959555987
197	1.95912857
198	1.958154029
199	1.957443721
200	1.956807823
201	1.956213557
202	1.955751856
203	1.95505953
204	1.954541414
205	1.953880948
206	1.953013032
207	1.95226299
208	1.951349914
209	1.95074428
210	1.950116138
211	1.949349485
212	1.948842348
213	1.947970587
214	1.947296157
215	1.946529034
216	1.945858335
217	1.945018661
218	1.944545262
219	1.943782649
220	1.943212066
221	1.942772304
222	1.942042262
223	1.941388795
224	1.940778633
225	1.940177536
226	1.939125205
227	1.938357716
228	1.937660668
229	1.936936138
230	1.936208809
231	1.935557753
232	1.935050811
233	1.934542175
234	1.933719704
235	1.933016052
236	1.932424208
237	1.931820871
238	1.93107797
239	1.930459757
240	1.929930981
241	1.92943277
242	1.92870477
243	1.928130545
244	1.927566673
245	1.927055851
246	1.926415776
247	1.92570523
248	1.925094427
249	1.924391541
