iter	Passed	Remaining
0	3	907
1	7	922
2	10	895
3	14	866
4	17	847
5	20	843
6	25	872
7	28	855
8	31	844
9	34	834
10	38	827
11	41	826
12	45	822
13	48	818
14	52	815
15	56	829
16	60	826
17	63	822
18	67	817
19	70	813
20	75	822
21	79	820
22	82	816
23	86	812
24	90	815
25	97	841
26	101	837
27	105	838
28	109	834
29	112	827
30	116	824
31	121	824
32	124	818
33	127	812
34	132	815
35	137	816
36	141	812
37	144	806
38	148	802
39	151	796
40	155	791
41	158	783
42	161	776
43	164	769
44	167	762
45	170	756
46	173	749
47	176	742
48	179	735
49	182	728
50	185	723
51	188	716
52	191	710
53	193	703
54	196	697
55	199	691
56	203	688
57	205	681
58	208	676
59	211	670
60	214	664
61	217	659
62	220	654
63	223	650
64	226	645
65	229	640
66	232	635
67	236	631
68	238	626
69	241	621
70	244	617
71	247	612
72	251	609
73	254	604
74	257	600
75	260	595
76	262	590
77	266	588
78	269	583
79	272	579
80	275	574
81	278	569
82	281	566
83	284	562
84	287	557
85	290	553
86	293	549
87	295	544
88	299	541
89	302	537
90	305	533
91	308	528
92	311	525
93	314	522
94	317	518
95	320	513
96	323	510
97	326	506
98	329	502
99	332	498
100	335	494
101	337	490
102	340	486
103	343	482
104	347	479
105	349	475
106	352	471
107	355	467
108	358	463
109	361	460
110	364	456
111	367	453
112	370	449
113	373	445
114	376	442
115	380	439
116	383	435
117	386	431
118	388	428
119	391	424
120	394	421
121	397	417
122	400	413
123	403	410
124	406	406
125	409	403
126	412	399
127	415	396
128	418	392
129	421	388
130	423	385
131	426	381
132	429	378
133	432	374
134	435	370
135	438	367
136	441	363
137	444	360
138	446	356
139	449	353
140	452	349
141	455	346
142	457	342
143	461	339
144	463	335
145	466	332
146	469	328
147	472	325
148	475	322
149	478	319
150	481	315
151	484	312
152	487	308
153	490	305
154	493	302
155	496	298
156	498	295
157	501	292
158	504	288
159	507	285
160	510	282
161	513	278
162	516	275
163	519	272
164	522	269
165	525	266
166	528	262
167	531	259
168	535	256
169	538	253
170	543	250
171	546	247
172	550	244
173	553	241
174	557	239
175	561	236
176	565	233
177	568	229
178	572	227
179	575	223
180	579	220
181	582	217
182	586	214
183	590	211
184	593	208
185	597	205
186	600	202
187	603	199
188	606	195
189	609	192
190	612	189
191	615	185
192	618	182
193	621	179
194	624	176
195	627	172
196	630	169
197	633	166
198	636	163
199	639	159
200	642	156
201	644	153
202	647	149
203	650	146
204	654	143
205	657	140
206	660	137
207	663	133
208	666	130
209	669	127
210	672	124
211	675	121
212	678	117
213	681	114
214	684	111
215	687	108
216	690	104
217	692	101
218	695	98
219	698	95
220	702	92
221	705	88
222	708	85
223	711	82
224	714	79
225	718	76
226	721	73
227	724	69
228	727	66
229	730	63
230	733	60
231	737	57
232	740	54
233	743	50
234	746	47
235	749	44
236	752	41
237	755	38
238	758	34
239	761	31
240	764	28
241	767	25
242	770	22
243	773	19
244	776	15
245	779	12
246	782	9
247	785	6
248	787	3
249	790	0
